rank,image_path,image_file_name,selected,status,base_score,aesthetic_score,aesthetic_score_contributed,aesthetic_models_used,aesthetic_backend,final_score_after_rerank,vila_score_raw,vila_score_normalized_in_pool,acut_short_reason,acut_detailed_reason,acut_comparison_reason,multimodal_explanations_enabled,multimodal_explanations_attempted,multimodal_explanations_succeeded,multimodal_explanations_skip_reason,multimodal_explanation_model,explanation_source,explanation_status,explanation_confidence,explanation_tags,baseline_short_reason,baseline_detailed_reason,baseline_comparison_reason,multimodal_short_reason,multimodal_detailed_reason,multimodal_comparison_reason
1,test_samples/KakaoTalk_20260330_180646779_05.jpg,KakaoTalk_20260330_180646779_05.jpg,True,selected,0.542073,0.503475,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.542073,,,"selected: clear subject emphasis, soft detail",Clear subject emphasis makes the subject easier to notice. But soft detail keeps it from feeling fully polished.,nearby: stronger aesthetic appeal kept it ahead despite softer detail,True,True,True,,checkpoints/NVILA-8B,vila_full_local,generated,0.8,"[""composition""]","The A-cut kept it despite a thin margin, with aesthetic score just covering for technical quality.","Ranked #1 with a final score of 0.542, staying 0.001 above the cut line. This was a keepable but fragile pick because the positives were narrow rather than overwhelming. Relative to KakaoTalk_20260330_180646779_10.jpg, the score edge was roughly tied (+0.001), driven mostly by aesthetic score, although technical quality was weaker. The selector leaned on technical quality (0.600 vs 0.503 aesthetic).","Relative to KakaoTalk_20260330_180646779_10.jpg, the score edge was roughly tied (+0.001), driven mostly by aesthetic score, although technical quality was weaker.","selected: clear subject emphasis, soft detail",Clear subject emphasis makes the subject easier to notice. But soft detail keeps it from feeling fully polished.,nearby: stronger aesthetic appeal kept it ahead despite softer detail
2,test_samples/KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg,False,rejected,0.540674,0.490713,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.540674,,,Rejected after the tradeoff broke the wrong way: technical quality was not enough to offset aesthetic score.,"Ranked #2 with a final score of 0.541, trailing the cut line by 0.001. The surviving positives on technical quality were real, but they did not cover for weaker aesthetic score. KakaoTalk_20260330_180646779_05.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. The selector leaned on technical quality (0.616 vs 0.491 aesthetic).","KakaoTalk_20260330_180646779_05.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. Against KakaoTalk_20260330_180646779.jpg, the weaker area was aesthetic score.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.028,"[""technical"",""technical quality"",""aesthetic score"",""selector_reasoning""]",Rejected after the tradeoff broke the wrong way: technical quality was not enough to offset aesthetic score.,"Ranked #2 with a final score of 0.541, trailing the cut line by 0.001. The surviving positives on technical quality were real, but they did not cover for weaker aesthetic score. KakaoTalk_20260330_180646779_05.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. The selector leaned on technical quality (0.616 vs 0.491 aesthetic).","KakaoTalk_20260330_180646779_05.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. Against KakaoTalk_20260330_180646779.jpg, the weaker area was aesthetic score.",,,
3,test_samples/KakaoTalk_20260330_180646779.jpg,KakaoTalk_20260330_180646779.jpg,False,rejected,0.538649,0.503543,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.538649,,,"It missed the A-cut mainly because technical quality trailed the selected set, even though aesthetic score remained acceptable.","Ranked #3 with a final score of 0.539, trailing the cut line by 0.003. The tradeoff broke against this frame once technical quality fell behind the cut-line alternatives. KakaoTalk_20260330_180646779_10.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.591 vs 0.504 aesthetic).","KakaoTalk_20260330_180646779_10.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_02.jpg was lost on technical quality.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0405,"[""technical"",""aesthetic score"",""technical quality"",""selector_reasoning""]","It missed the A-cut mainly because technical quality trailed the selected set, even though aesthetic score remained acceptable.","Ranked #3 with a final score of 0.539, trailing the cut line by 0.003. The tradeoff broke against this frame once technical quality fell behind the cut-line alternatives. KakaoTalk_20260330_180646779_10.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.591 vs 0.504 aesthetic).","KakaoTalk_20260330_180646779_10.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_02.jpg was lost on technical quality.",,,
4,test_samples/KakaoTalk_20260330_180646779_02.jpg,KakaoTalk_20260330_180646779_02.jpg,False,rejected,0.535303,0.493586,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.535303,,,"It missed the A-cut mainly because aesthetic score trailed the selected set, even though technical quality remained acceptable.","Ranked #4 with a final score of 0.535, trailing the cut line by 0.007. The tradeoff broke against this frame once aesthetic score fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.003) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.598 vs 0.494 aesthetic).","Against KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.003) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_11.jpg was lost on technical quality.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0669,"[""technical"",""technical quality"",""aesthetic score"",""selector_reasoning""]","It missed the A-cut mainly because aesthetic score trailed the selected set, even though technical quality remained acceptable.","Ranked #4 with a final score of 0.535, trailing the cut line by 0.007. The tradeoff broke against this frame once aesthetic score fell behind the cut-line alternatives. Against KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.003) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.598 vs 0.494 aesthetic).","Against KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.003) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_11.jpg was lost on technical quality.",,,
5,test_samples/KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_11.jpg,False,rejected,0.530983,0.462259,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.530983,,,This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #5 with a final score of 0.531, trailing the cut line by 0.011. It remained close in places, yet the loss concentrated on aesthetic score. KakaoTalk_20260330_180646779_12.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. The selector leaned on technical quality (0.634 vs 0.462 aesthetic).","KakaoTalk_20260330_180646779_12.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. Against KakaoTalk_20260330_180646779_02.jpg, the weaker area was aesthetic score.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0658,"[""technical"",""technical quality"",""aesthetic score"",""selector_reasoning""]",This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #5 with a final score of 0.531, trailing the cut line by 0.011. It remained close in places, yet the loss concentrated on aesthetic score. KakaoTalk_20260330_180646779_12.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. The selector leaned on technical quality (0.634 vs 0.462 aesthetic).","KakaoTalk_20260330_180646779_12.jpg stayed ahead because aesthetic score were weaker here, although technical quality remained competitive. Against KakaoTalk_20260330_180646779_02.jpg, the weaker area was aesthetic score.",,,
6,test_samples/KakaoTalk_20260330_180646779_12.jpg,KakaoTalk_20260330_180646779_12.jpg,False,rejected,0.527694,0.490271,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.527694,,,Rejected after the tradeoff broke the wrong way: aesthetic score was not enough to offset technical quality.,"Ranked #6 with a final score of 0.528, trailing the cut line by 0.014. The surviving positives on aesthetic score were real, but they did not cover for weaker technical quality. KakaoTalk_20260330_180646779_07.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.584 vs 0.490 aesthetic).","KakaoTalk_20260330_180646779_07.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. Against KakaoTalk_20260330_180646779_11.jpg, the weaker area was technical quality.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0547,"[""technical"",""aesthetic score"",""technical quality"",""selector_reasoning""]",Rejected after the tradeoff broke the wrong way: aesthetic score was not enough to offset technical quality.,"Ranked #6 with a final score of 0.528, trailing the cut line by 0.014. The surviving positives on aesthetic score were real, but they did not cover for weaker technical quality. KakaoTalk_20260330_180646779_07.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.584 vs 0.490 aesthetic).","KakaoTalk_20260330_180646779_07.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. Against KakaoTalk_20260330_180646779_11.jpg, the weaker area was technical quality.",,,
7,test_samples/KakaoTalk_20260330_180646779_07.jpg,KakaoTalk_20260330_180646779_07.jpg,False,rejected,0.524958,0.475061,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.524958,,,This frame fell below the cut when technical quality outweighed aesthetic score in nearby comparisons.,"Ranked #7 with a final score of 0.525, trailing the cut line by 0.017. It remained close in places, yet the loss concentrated on technical quality. Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (+0.002) and the main deficits were technical quality, although aesthetic score remained competitive. The selector leaned on technical quality (0.600 vs 0.475 aesthetic).","Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (+0.002) and the main deficits were technical quality, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg was lost on aesthetic score.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0377,"[""technical"",""aesthetic score"",""technical quality"",""selector_reasoning""]",This frame fell below the cut when technical quality outweighed aesthetic score in nearby comparisons.,"Ranked #7 with a final score of 0.525, trailing the cut line by 0.017. It remained close in places, yet the loss concentrated on technical quality. Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (+0.002) and the main deficits were technical quality, although aesthetic score remained competitive. The selector leaned on technical quality (0.600 vs 0.475 aesthetic).","Against KakaoTalk_20260330_180646779_06.jpg, the final score was roughly tied (+0.002) and the main deficits were technical quality, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg was lost on aesthetic score.",,,
8,test_samples/KakaoTalk_20260330_180646779_06.jpg,KakaoTalk_20260330_180646779_06.jpg,False,rejected,0.523071,0.470569,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.523071,,,This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #8 with a final score of 0.523, trailing the cut line by 0.019. It remained close in places, yet the loss concentrated on aesthetic score. Against KakaoTalk_20260330_180646779_07.jpg, the final score was roughly tied (-0.002) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.602 vs 0.471 aesthetic).","Against KakaoTalk_20260330_180646779_07.jpg, the final score was roughly tied (-0.002) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg remained close overall.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0377,"[""technical"",""technical quality"",""aesthetic score"",""selector_reasoning""]",This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #8 with a final score of 0.523, trailing the cut line by 0.019. It remained close in places, yet the loss concentrated on aesthetic score. Against KakaoTalk_20260330_180646779_07.jpg, the final score was roughly tied (-0.002) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.602 vs 0.471 aesthetic).","Against KakaoTalk_20260330_180646779_07.jpg, the final score was roughly tied (-0.002) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg remained close overall.",,,
9,test_samples/KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_08.jpg,False,rejected,0.50372,0.465103,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.50372,,,This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #9 with a final score of 0.504, trailing the cut line by 0.038. It remained close in places, yet the loss concentrated on aesthetic score. Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.004) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.562 vs 0.465 aesthetic).","Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.004) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg was lost on technical quality and aesthetic score.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0741,"[""technical"",""technical quality"",""aesthetic score"",""selector_reasoning""]",This frame fell below the cut when aesthetic score outweighed technical quality in nearby comparisons.,"Ranked #9 with a final score of 0.504, trailing the cut line by 0.038. It remained close in places, yet the loss concentrated on aesthetic score. Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.004) and the main deficits were aesthetic score, although technical quality remained competitive. The selector leaned on technical quality (0.562 vs 0.465 aesthetic).","Against KakaoTalk_20260330_180646779_09.jpg, the final score was roughly tied (+0.004) and the main deficits were aesthetic score, although technical quality remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg was lost on technical quality and aesthetic score.",,,
10,test_samples/KakaoTalk_20260330_180646779_09.jpg,KakaoTalk_20260330_180646779_09.jpg,False,rejected,0.500014,0.47026,True,"[""stage5_student_full_aadb""]",stage5_student_full_aadb_tensorflow,0.500014,,,"It missed the A-cut mainly because technical quality trailed the selected set, even though aesthetic score remained acceptable.","Ranked #10 with a final score of 0.500, trailing the cut line by 0.042. The surviving positives on aesthetic score were real, but they did not cover for weaker technical quality. KakaoTalk_20260330_180646779_08.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.545 vs 0.470 aesthetic).","KakaoTalk_20260330_180646779_08.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_04.jpg remained close overall.",True,True,True,,checkpoints/NVILA-8B,baseline_acut,generated,0.0741,"[""technical"",""aesthetic score"",""technical quality"",""selector_reasoning""]","It missed the A-cut mainly because technical quality trailed the selected set, even though aesthetic score remained acceptable.","Ranked #10 with a final score of 0.500, trailing the cut line by 0.042. The surviving positives on aesthetic score were real, but they did not cover for weaker technical quality. KakaoTalk_20260330_180646779_08.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The selector leaned on technical quality (0.545 vs 0.470 aesthetic).","KakaoTalk_20260330_180646779_08.jpg stayed ahead because technical quality were weaker here, although aesthetic score remained competitive. The nearby comparison with KakaoTalk_20260330_180646779_04.jpg remained close overall.",,,
